Month,ZipCode,ZipName,Footnote,Median_Listing_Price,Median_Listing_Price_M/M,Median_Listing_Price_Y/Y,Active_Listing_Count_,Active_Listing_Count_M/M,Active_Listing_Count_Y/Y,Days_on_Market_,Days_on_Market_M/M,Days_on_Market_Y/Y,New_Listing_Count_,New_Listing_Count_M/M,New_Listing_Count_Y/Y,Price_Increase_Count_,Price_Increase_Count_M/M,Price_Increase_Count_Y/Y,Price_Decrease_Count_,Price_Decrease_Count_M/M,Price_Decrease_Count_Y/Y,Pending_Listing_Count_,Pending_Listing_Count_M/M,Pending_Listing_Count_Y/Y,Avg_Listing_Price,Avg_Listing_Price_M/M,Avg_Listing_Price_Y/Y,Total_Listing_Count,Total_Listing_Count_M/M,Total_Listing_Count_Y/Y,Pending_Ratio,Pending_Ratio_M/M,Pending_Ratio_Y/Y
4/1/19 0:00,1001,"Agawam, MA",,213700,0.0739,-0.0904,43.5,-0.0543,-0.2627,49.5,-0.3125,-0.0571,26,0.0833,0.3,0,,-1,12,0,-0.5714,1,0,0,255251,0.0661,-0.0602,44.5,-0.0532,-0.2583,0.023,0.0012,0.006
4/1/19 0:00,1002,"Amherst, MA",,499050,0.0398,0.1607,70.5,0.119,-0.2079,43,-0.3901,-0.165,18,-0.3571,-0.4375,0,,,8,0,-0.3333,0,,,513276,0.0052,0.0733,70.5,0.119,-0.2079,0,0,0
4/1/19 0:00,1005,"Barre, MA",*,301275,-0.0024,,17,0.2143,0.1333,45.75,-0.721,-0.1202,6,0.5,-0.25,0,,,4,,,0,,,384204,0.0095,0.4213,17,0.2143,0.1333,0,0,0
4/1/19 0:00,1007,"Belchertown, MA",*,369950,0.0291,,51.5,0.03,-0.3041,47.5,-0.1593,-0.2803,22,0.1,0.1,0,,,8,0,0,0,,,356476,0.0558,0.0738,51.5,0.03,-0.3041,0,0,0
4/1/19 0:00,1008,"Blandford, MA",,181950,-0.1915,-0.2159,6.5,-0.0714,0.0833,34.25,-0.6317,-0.2126,2,,,0,,,2,,,2,1,-0.3333,186755,-0.225,-0.2975,8.5,0.0625,-0.0556,0.3077,0.1648,-0.1923
4/1/19 0:00,1010,"Brimfield, MA",,339775,-0.0678,0.2819,16,0.1429,0.0667,73.75,0.1434,0.25,8,1,1,0,,,4,0,,0,,,676773,-0.0784,0.7949,16,0.1429,0.0667,0,0,0
4/1/19 0:00,1013,"Chicopee, MA",,184725,0.015,0.0291,22,-0.1538,-0.2143,49.25,0.1453,0.0479,12,0,-0.25,0,,,4,-0.5,-0.6667,0,,,192094,0.0539,0.1162,22,-0.1538,-0.2143,0,0,0
4/1/19 0:00,1020,"Chicopee, MA",*,224000,0.17,,55,0.0784,,38.25,0.125,,24,-0.25,-0.3333,0,,,12,-0.25,0,0,,,236179,0.0914,0.1542,55,0.0784,0.1224,0,0,0
4/1/19 0:00,1022,"Chicopee, MA",*,124225,-0.0514,,3.5,-0.4167,-0.5,41.75,-0.1814,,6,,-0.25,0,,,0,,,0,,,131187,-0.046,-0.0645,3.5,-0.4167,-0.5,0,0,0
4/1/19 0:00,1027,"Easthampton, MA",,299950,0.0361,-0.1111,20.5,-0.2679,-0.2115,31,0.24,0.2157,14,-0.3,-0.3,0,,,6,0.5,0.5,0,,,391657,0.3738,0.1501,20.5,-0.2679,-0.2115,0,0,0
4/1/19 0:00,1028,"East Longmeadow, MA",,304900,0.0422,-0.187,59.5,-0.0083,-0.0846,34.25,0.0074,-0.2554,28,0,0.1667,0,,,24,1,-0.1429,0,,,374117,0.0529,-0.0899,59.5,-0.0083,-0.0846,0,0,0
4/1/19 0:00,1030,"Feeding Hills, MA",,287200,0.0259,0.1263,22,0,0,46.25,0.0756,0.0393,6,-0.5,-0.25,0,,,8,1,1,0,,,329249,0.0553,0.0978,22,0,0,0,0,0
4/1/19 0:00,1033,"Granby, MA",*,318500,0.1373,-0.1391,28,1,-0.125,22,-0.7684,,12,0.5,0,0,,,6,0.5,0.5,0,,,324435,0.0277,-0.0487,28,1,-0.125,0,0,0
4/1/19 0:00,1034,"Granville, MA",,302450,0.0254,-0.1066,19,0.1875,0.1176,67.5,-0.4181,-0.6311,8,1,1,0,,,0,,-1,1,0,,426542,0.0062,-0.2059,20,0.1765,0.1765,0.0526,-0.0099,0.0526
4/1/19 0:00,1035,"Hadley, MA",,618300,-0.0934,0.4581,21,0.1667,0.05,71,0.1008,-0.1069,8,,0,0,,,4,0,,0,,,679607,0.0081,0.1007,21,0.1667,0.05,0,0,0
4/1/19 0:00,1036,"Hampden, MA",,299950,0.0084,0.0084,23.5,0.3056,0.2368,51.25,0.1389,0.5299,8,-0.3333,0,0,,,12,0,0.5,0,,,326503,-0.0014,-0.0075,23.5,0.3056,0.2368,0,0,0
4/1/19 0:00,1040,"Holyoke, MA",*,194550,0.0811,,42.5,0.0625,,43,-0.0851,,24,0.5,0.2,0,,,18,1.25,3.5,1,0,0,218256,0.1061,-0.048,43.5,0.061,0.45,0.0235,-0.0015,-0.011
4/1/19 0:00,1050,"Huntington, MA",,245050,0,0.2256,7,-0.2222,-0.3,62.25,0.1745,-0.2633,0,-1,-1,0,,,4,,0,3,0,-0.4,230931,-0.1117,-0.1722,10,-0.1667,-0.3333,0.4286,0.0952,-0.0714
